ID,Title,Address,Area_m2,Number_of_Bedrooms,Number_of_Bathrooms,Date_Posted,Price
1,Biệt thự Vạn Xuân- Đà Lạt 290m2 full xây dựng sở hữu vĩnh viễn,"Huyện Lạc Dương, Lâm Đồng",290,5,5,2024-10-23,11000000000
2,"| 13,5 TỶ | Bán Villa Yersin - Phường 10 - Đà Lạt - Hỗ trợ vay tới 10ỷ","TP. Đà Lạt, Lâm Đồng",110,4,4,2024-09-23,13500000000
3,Villa Sân Vườn Khu Sang trọng Đường Cô Giang Phường 9 Đà Lạt,"TP. Đà Lạt, Lâm Đồng",200,3,3,2024-09-23,14000000000
4,"Cán bán căn Villa như hình gần khu du lịch Hồ Than Thở, P12, Đà Lạt","TP. Đà Lạt, Lâm Đồng",157,3,3,2024-09-19,8700000000
5,Cần bán khách sạn 2 mặt tiền - Ngay trung tâm - Đà Lạt,"TP. Đà Lạt, Lâm Đồng",127,12,12,2024-09-18,19500000000
6,"Cần bán nhà mới xây, Vạn Thành, Phường 5","TP. Đà Lạt, Lâm Đồng",66,3,3,2024-09-18,4600000000
7,"Bán đất tặng nhà đường Ô tô tới nhà, Phường 3, Đà Lạt","TP. Đà Lạt, Lâm Đồng",100,2,1,2024-09-16,6000000000
8,"🌈🌈Bán nhà đường nhựa 5m nguyễn siêu, 2 mặt tiền 7t5!","TP. Đà Lạt, Lâm Đồng",96,5,6,2024-09-14,7500000000
9,"Bán nhà trung tâm thành phố Bảo Lộc, Lộc Tiến","TP. Bảo Lộc, Lâm Đồng",522,4,4,2024-09-11,4999000000
10,Giảm tiếp cần  bán gấp nhà La Sơn Phu Tử Phường 6 ĐÀ LẠT,"TP. Đà Lạt, Lâm Đồng",81,3,2,2024-09-11,6200000000
11,Cần bán nhà góc 2 mặt tiền hẻm oto NGÔ THÌ SỸ giao NGÔ THÌ NHẬM,"TP. Đà Lạt, Lâm Đồng",42,4,3,2024-09-10,2450000000
12,"🎯🎯Bán homestay Hẻm 27 Lê Hồng Phong, Phường 4, Tp Đà Lạt. Homestay 3","TP. Đà Lạt, Lâm Đồng",120,1,1,2024-09-10,6800000000
13,"Bán căn nhà đẹp Phường 9, Đà Lạt","TP. Đà Lạt, Lâm Đồng",78,3,2,2024-09-10,3200000000
14,"Bán Nhà Nam Hồ, P11, Đà Lạt  - giá siêu tốt trong khu vực","TP. Đà Lạt, Lâm Đồng",62,5,6,2024-09-10,4600000000
15,Ngộp ngân hàng - Hạ giá cần bán gấp biệt thự p12,"TP. Đà Lạt, Lâm Đồng",200,6,3,2024-09-10,8100000000
16,Biệt thự Vạn Xuân- Đà Lạt 290m2 full xây dựng sở hữu vĩnh viễn,"Huyện Lạc Dương, Lâm Đồng",290,5,5,2024-10-23,11000000000
17,"| 13,5 TỶ | Bán Villa Yersin - Phường 10 - Đà Lạt - Hỗ trợ vay tới 10ỷ","TP. Đà Lạt, Lâm Đồng",110,4,4,2024-09-23,13500000000
18,Villa Sân Vườn Khu Sang trọng Đường Cô Giang Phường 9 Đà Lạt,"TP. Đà Lạt, Lâm Đồng",200,3,3,2024-09-23,14000000000
19,"Cán bán căn Villa như hình gần khu du lịch Hồ Than Thở, P12, Đà Lạt","TP. Đà Lạt, Lâm Đồng",157,3,3,2024-09-19,8700000000
20,Cần bán khách sạn 2 mặt tiền - Ngay trung tâm - Đà Lạt,"TP. Đà Lạt, Lâm Đồng",127,12,12,2024-09-18,19500000000
21,"Cần bán nhà mới xây, Vạn Thành, Phường 5","TP. Đà Lạt, Lâm Đồng",66,3,3,2024-09-18,4600000000
22,"Bán đất tặng nhà đường Ô tô tới nhà, Phường 3, Đà Lạt","TP. Đà Lạt, Lâm Đồng",100,2,1,2024-09-16,6000000000
23,"🌈🌈Bán nhà đường nhựa 5m nguyễn siêu, 2 mặt tiền 7t5!","TP. Đà Lạt, Lâm Đồng",96,5,6,2024-09-14,7500000000
24,"Bán nhà trung tâm thành phố Bảo Lộc, Lộc Tiến","TP. Bảo Lộc, Lâm Đồng",522,4,4,2024-09-11,4999000000
25,Giảm tiếp cần  bán gấp nhà La Sơn Phu Tử Phường 6 ĐÀ LẠT,"TP. Đà Lạt, Lâm Đồng",81,3,2,2024-09-11,6200000000
26,Cần bán nhà góc 2 mặt tiền hẻm oto NGÔ THÌ SỸ giao NGÔ THÌ NHẬM,"TP. Đà Lạt, Lâm Đồng",42,4,3,2024-09-10,2450000000
27,"🎯🎯Bán homestay Hẻm 27 Lê Hồng Phong, Phường 4, Tp Đà Lạt. Homestay 3","TP. Đà Lạt, Lâm Đồng",120,1,1,2024-09-10,6800000000
28,"Bán căn nhà đẹp Phường 9, Đà Lạt","TP. Đà Lạt, Lâm Đồng",78,3,2,2024-09-10,3200000000
29,"Bán Nhà Nam Hồ, P11, Đà Lạt  - giá siêu tốt trong khu vực","TP. Đà Lạt, Lâm Đồng",62,5,6,2024-09-10,4600000000
30,Ngộp ngân hàng - Hạ giá cần bán gấp biệt thự p12,"TP. Đà Lạt, Lâm Đồng",200,6,3,2024-09-10,8100000000
