ID,Image URL,Title,Price,Address,Date,Description,Usable_Area,Land_Area,Bedrooms,Bathrooms,Legal,Posted_Date,Property_ID
1,https://cloud.mogi.vn/images/2024/10/23/175/03e59271b0b14250b04a038464505ae9.jpg,Biệt thự Vạn Xuân- Đà Lạt 290m2 full xây dựng sở hữu vĩnh viễn,11 tỷ,"Vạn Xuân, Thị Trấn Lạc Dương, Huyện Lạc Dương, Lâm Đồng",23/10/2024,-Khu Đô thị Vạn Xuân là dự án duy nhất nằm dưới chân núi LangBiang Đà Lạt. Cũng là khu đô thị du lịch chưa bao giờ mở bán. Các suất hiện tại là suất ngoại giao. 1. Diện tích đất 290m2 full xây dựng sở hữu vĩnh viễn 2. Nhà biệt thự đã xây xong phần thô gồm 450m diện tích sàn và 140m sân vườn + tường rào + hồ bơi mini Giá bán: Thỏa thuận ZALO/SĐT: 0911281843 - ÁNH TUYẾT_CHUYÊN ĐẤT NỀN ĐÀ LẠT,450 m2,290 m2(10x29),5.0,5.0,Sổ đỏ,23/10/2024,22637696
2,https://cloud.mogi.vn/images/2024/09/23/339/a96e1bfcd94e473d9828641af83cd3a0.jpg,"| 13,5 TỶ | Bán Villa Yersin - Phường 10 - Đà Lạt - Hỗ trợ vay tới 10ỷ",13 tỷ 500 triệu,"Yersin, Phường 10, TP. Đà Lạt, Lâm Đồng",23/09/2024,"| 13,5 TỶ | BÁN VILLA  YERSIN - P10 ĐÀ LẠT - HỖ TRỢ VAY TỚI 10 TỶ  0944 946261 - Anh Kiệt --------------------------------------- cần bán gấp căn villa vị trí đẹp, cách Hồ Xuân Hương, Quảng Trường 600m, chợ Đà Lạt mất 5p đi bộ, 2 mặt hẻm xe tải, khu phố an ninh, khu dân trí cao, gần trường học, nhà  -- Diện tích đẹp 6,4m * 17m phù hợp nghỉ dưỡng hoặc kinh doanh, nhà mới xây đã hoàn công, pháp lí rõ ràng! -- Kết cấu: 1 trẹt, 2 lầu gồm: 1 khách 1 bếp 4 pn 4 wc  Hướng: Nam & Đông  Diện tích đất: 110m2, diện tích sàn: 205m2 ( có thể xây lên 1 tấm nữa và sân thượng)  Giá : 13,5 tỷ thương lượng  Bank : hỗ trợ vay 10 tỷ",205 m2,"110 m2(6,4x17)",4.0,4.0,Sổ hồng,23/09/2024,22627237
3,https://cloud.mogi.vn/images/2024/09/23/349/59bce69619f44c9c92752822b3520945.jpg,Villa Sân Vườn Khu Sang trọng Đường Cô Giang Phường 9 Đà Lạt,14 tỷ,"Quang Trung, Phường 9, TP. Đà Lạt, Lâm Đồng",23/09/2024,"Villa Sân Vườn Khu Sang trọng Đường Cô Giang Phường 9 Đà Lạt Thích Hợp Định Cư Nghỉ Dưỡng Diện tích:200,72m2 ngang 10,50m  Sổ riêng xây dựng hoàn công Thiết kế dạng 1trệt 3p ngủ, với khoảng sân vườn xinh cách đường chính Cô Giang 100m, Khu villa biệt thự sang trọng Cung đường nghỉ dưỡng định cư sang xịn, cách Hồ Xuân Hương Big C  1km  Giá bán :14tỷ Thương lượng chính chủ Liên hệ :0944 946261 - Anh Kiệt",,200 m2(10x20),3.0,3.0,Sổ hồng,23/09/2024,22627360
4,https://cloud.mogi.vn/images/2024/09/19/287/22c563e8497345a89675f8292540af70.jpg,"Cán bán căn Villa như hình gần khu du lịch Hồ Than Thở, P12, Đà Lạt",8 tỷ 700 triệu,"Hồ Xuân Hương, Phường 12, TP. Đà Lạt, Lâm Đồng",19/09/2024,"CẦN BÁN CĂN VILLA NHƯ HÌNH GẦN NGAY KHU DU LỊCH HỒ THAN THỞ P12 ĐÀ LẠT  Diện tích: 157m2, ngang 9m  Giá bán :8 tỉ 700 triệu  Pháp lý: SỔ HỒNG RIÊNG XÂY DỰNG, mua bán công chứng sang tên cho chủ mới Đường ô tô vào đến nhà Có sân nướng BBQ View nhà Lồng  Cách trung tâm , chợ đêm Đà Lạt, Hồ Xuân Hương 6km 10p đi xe.  Cách Hồ Than Thở 100m. Gần các địa điểm: Hồ Than Thở,Xóm Lèo .v.v. Tất cả phòng đều có toilet riêng, 3 phòng Phòng Khách, Bếp, Phòng Ăn, sân BBQ, nội thất sang trọng, hiện đại, đầy đủ tiện nghi Chỗ đậu ô tô 7 chỗ ------------------------------------- Mọi thông tin xin liên hệ Hotline :   Call - Zalo: 0944 946261 - Anh Kiệt",,"157 m2(9x17,4)",3.0,3.0,Sổ hồng,19/09/2024,22626237
5,https://cloud.mogi.vn/images/2024/09/18/012/2dc283c493464e12bc5d80908544054e.jpg,Cần bán khách sạn 2 mặt tiền - Ngay trung tâm - Đà Lạt,19 tỷ 500 triệu,"Thi Sách, Phường 6, TP. Đà Lạt, Lâm Đồng",18/09/2024,"🌈🌈19,5 TỶ CẦN BÁN KHÁCH SẠN 2 MẶT TIỀN- NGAY TRUNG TÂM - ĐÀ LẠT  --------------------------------------- 💥Diện tích: 127,4 m2  Ngang 5 Nở Hậu 5,7m,Dài 25m Diện Tích Thực Tế : 146m 💥Pháp Lý: Sổ Riêng Xây Dựng 💥Đường : Ô tô 💥Hướng: Tây Bắc 💥Vị Trí:  Mặt trước Hẻm Thi Sách ( Mặt Sau Hẻm Hai Bà Trưng) P6, TP Đà Lạt 💥Kết cấu: 1 bán hầm,1 trệt, 2 lầu,1 áp mái ,12 Phòng nội thất hiện đại,Thang máy,PCCC đầy đủ...có sân đậu xe oto 💥Ưu điểm: Lợi thế gần bệnh viện,trường học,nhà hàng,quán cà phê... 💵💵 Giá   19,5 Tỷ Thương Lượng Chính Chủ ☎️☎️ LH 0944 946261 - Anh Kiệt Xin trân trọng cảm ơn quý khách đã xem!!!",,127 m2(5x25),12.0,12.0,Sổ đỏ,18/09/2024,22625968
6,https://cloud.mogi.vn/images/2024/09/18/307/1b2e565052cf450ca5b1221cdbc45059.jpg,"Cần bán nhà mới xây, Vạn Thành, Phường 5",4 tỷ 600 triệu,"Vạn Thành, Phường 5, TP. Đà Lạt, Lâm Đồng",18/09/2024,"CẦN BÁN NHÀ MỚI XÂY - VẠN THÀNH, PHƯỜNG 5, ĐÀ LẠT   Giá bán: 4,6 tỷ  Vị trí: Trung tâm thành phố Đà Lạt, đối diện khu du lịch Sắc Màu Hoa. Cách khu Hòa Bình chưa tới 3km.  Diện tích: 6m x 11m  Pháp lý: Sổ hồng, đầy đủ giấy tờ xây dựng  Kết cấu:   1 trệt, 2 lầu, 3 phòng ngủ, 3 wc nhà mới xây năm 2022   Đường trước nhà rộng 6m, ô tô tải di chuyển dễ dàng Ưu điểm: Vị trí trung tâm, thuận tiện di chuyển, nhà mới hoàn toàn, phù hợp để ở hoặc đầu tư kinh doanh.",,66 m2(6x11),3.0,3.0,Sổ hồng,18/09/2024,22625983
7,https://cloud.mogi.vn/images/2024/09/16/201/f7064d5b06b94274b94bb9990e4769da.jpg,"Bán đất tặng nhà đường Ô tô tới nhà, Phường 3, Đà Lạt",6 tỷ,"Trần Phú, Phường 3, TP. Đà Lạt, Lâm Đồng",16/09/2024,"| 6 TỶ | BÁN ĐẤT TẶNG NHÀ ĐƯỜNG TRẦN PHÚ Ô TÔ TỚI NHÀ. 0944 946261- Anh Kiệt --------------------------------------- Cần bán nhà đường Trần Phú, Phường 03, TP Đà Lạt. - Diện tích: 100,79 m, ngang: 6m. - Pháp lý: Sổ hồng - Trên đất có nhà cấp 4 gồm 1PK 1 bếp và 2 PN còn rất mới. - Đường ô tô 3m, khu vực dân cư đông đúc. - Gần trường, cách chợ trung tâm 1km.  Giá: 6 tỷ lại lộc",,"100 m2(6x16,6)",2.0,1.0,Sổ hồng,16/09/2024,22625070
8,https://cloud.mogi.vn/images/2024/09/14/248/318fd297a052413f93b02429ed476a4a.jpg,"🌈🌈Bán nhà đường nhựa 5m nguyễn siêu, 2 mặt tiền 7t5!",7 tỷ 500 triệu,"Nguyễn Siêu, Phường 7, TP. Đà Lạt, Lâm Đồng",14/09/2024,"🌈🌈Bán nhà đường nhựa 5m nguyễn siêu, 2 mặt tiền 7t5! 🌈🌈Sổ riêng xây dựng 96,04 mv 🔥🔥Nhà gồm 5 phòng ngủ (toilet riêng từng phòng, tất cả các phòng đều có cửa sổ thoáng), 6 toilet, 1 phòng thờ, sân phơi rộng, hệ thống nóng lạnh, chống thấm tuyệt đối, khách bếp hiện đại, sân đậu xe hơi, đường rộng hơn trong sổ (4m, xe hơi vi vu), view đẹp ❤️ 🎯🎯 giá bán. 7,5 tỷ thương lượng  ☎️ ☎️ 0944 946261 - Anh Kiệt",,"96 m2(5x19,2)",5.0,6.0,Sổ đỏ,14/09/2024,22624363
9,https://cloud.mogi.vn/images/2024/08/12/556/5b215a02befc426a963e25fe67b10f25.jpg,"Bán nhà trung tâm thành phố Bảo Lộc, Lộc Tiến",4 tỷ 999 triệu,"Phùng Hưng, Phường Lộc Tiến, TP. Bảo Lộc, Lâm Đồng",11/09/2024,"Chào mừng bạn đến với ngôi nhà mơ ước của mình! Ngôi nhà 4 phòng ngủ, 4 phòng tắm tuyệt đẹp này mang đến sự kết hợp hoàn hảo giữa sang trọng hiện đại và vẻ đẹp thiên nhiên phong cách nghỉ dưỡng. Nằm trong khu phố 134 Phùng Hưng, Bảo Lộc được nhiều người ưa chuộng, đây là nơi lý tưởng cho những ai đánh giá cao cuộc sống chất lượng. Đặc điểm nổi bật: - Vị trí đắc địa: Chỉ cách trung tâm Bảo Lộc vài phút, gần các trường học hàng đầu, trung tâm mua sắm, và các trục đường chính, giúp việc di chuyển hàng ngày của bạn trở nên thuận tiện. - Bố trí rộng rãi: Với diện tích sử dụng 150 m², ngôi nhà này mang đến một không gian sống đón nhiều ánh sáng tự nhiên. - Khu vườn riêng biệt: Bước ra ngoài để tận hưởng khu vườn được thiết kế cảnh quan tuyệt đẹp, với sân hiên được xây dựng theo yêu cầu, lý tưởng cho những buổi tiệc BBQ mùa hè và những buổi tối thư giãn. - 4 Phòng ngủ sang trọng: Tận hưởng sự yên bình trong 4 phòng ngủ, với phòng tắm riêng, tủ quần áo rộng rãi. Thích hợp cho gia đình hoặc nhóm bạn tham quan nghỉ dưỡng cuối tuần. - Tiết kiệm năng lượng: Ngôi nhà được trang bị hệ thống máy nước nóng pin mặt trời, cửa sổ tiết kiệm năng lượng, và hệ thống nhà thông minh, vừa bền vững vừa phong cách. Tại sao bạn sẽ yêu thích ngôi nhà này: Ngôi nhà này không chỉ là một nơi ở mà là một phong cách sống. Với sự kết hợp giữa tiện nghi, phong cách và sự tiện lợi, nó mang đến cơ hội độc đáo để sống trong một trong những khu vực đáng mơ ước nhất của Bảo Lộc. Dù bạn muốn tổ chức tiệc, nuôi dạy con cái, hay đơn giản là tận hưởng những điều tốt đẹp trong cuộc sống, ngôi nhà này có tất cả. - Hoa hồng cho người giới thiệu Liên hệ 0982434443",600 m2,522 m2(26x26),4.0,4.0,Giấy tờ hợp lệ,11/09/2024,22614888
10,https://cloud.mogi.vn/images/2024/09/11/232/d331185c045c4b37a27dc3e173d45125.jpg,Giảm tiếp cần  bán gấp nhà La Sơn Phu Tử Phường 6 ĐÀ LẠT,6 tỷ 200 triệu,"La Sơn PhuTử	, Phường 6, TP. Đà Lạt, Lâm Đồng",11/09/2024,"Giảm tiếp cần  bán gấp nhà La Sơn Phu Tử Phường 6 ĐÀ LẠT còn 6,2tỷ - Diện tích : 81m2  -Sổ riêng xây dựng Hoàn công - Kết cấu : 1trệt 1 lầu 1 áp gồm 3pn , 1 phòng thờ , 2wc 1pk , 1 bếp nhà còn mới nội thất sịn sò . Hẻm oto 3m có bãi đậu cách nhà 5m . Khu vực dân cư đông đúc , gần chợ gần trường học bệnh viện đa tiện ích ….. di chuyển thuận tiện .. -Giá bán : 6,2tỷ Thương lượng chính chủ - Liên hệ : 0944 946261 - Anh Kiệt để xem nhà và nắm thông tin ……",,81 m2(5x16),3.0,2.0,Sổ hồng,11/09/2024,22623385
