ID,Title,Address,Date_Posted,Number_of_Bedrooms,Number_of_Bathrooms,Area_m2,Price,Image_URL
1,Biệt thự Vạn Xuân- Đà Lạt 290m2 full xây dựng sở hữu vĩnh viễn,"Huyện Lạc Dương, Lâm Đồng",2024-10-23,5,5,290,11000000000,https://cloud.mogi.vn/images/thumb-ms/2024/10/23/175/03e59271b0b14250b04a038464505ae9.jpg
2,"| 13,5 TỶ | Bán Villa Yersin - Phường 10 - Đà Lạt - Hỗ trợ vay tới 10ỷ","TP. Đà Lạt, Lâm Đồng",2024-09-23,4,4,110,13500000000,https://cloud.mogi.vn/images/thumb-ms/2024/09/23/339/a96e1bfcd94e473d9828641af83cd3a0.jpg
3,Villa Sân Vườn Khu Sang trọng Đường Cô Giang Phường 9 Đà Lạt,"TP. Đà Lạt, Lâm Đồng",2024-09-23,3,3,200,14000000000,https://cloud.mogi.vn/images/thumb-small/2024/09/23/349/59bce69619f44c9c92752822b3520945.jpg
4,"Cán bán căn Villa như hình gần khu du lịch Hồ Than Thở, P12, Đà Lạt","TP. Đà Lạt, Lâm Đồng",2024-09-19,3,3,157,8700000000,https://cloud.mogi.vn/images/thumb-small/2024/09/19/287/22c563e8497345a89675f8292540af70.jpg
5,Cần bán khách sạn 2 mặt tiền - Ngay trung tâm - Đà Lạt,"TP. Đà Lạt, Lâm Đồng",2024-09-18,12,12,127,19500000000,https://cloud.mogi.vn/images/thumb-small/2024/09/18/012/2dc283c493464e12bc5d80908544054e.jpg
6,"Cần bán nhà mới xây, Vạn Thành, Phường 5","TP. Đà Lạt, Lâm Đồng",2024-09-18,3,3,66,4600000000,https://cloud.mogi.vn/images/thumb-small/2024/09/18/307/1b2e565052cf450ca5b1221cdbc45059.jpg
7,"Bán đất tặng nhà đường Ô tô tới nhà, Phường 3, Đà Lạt","TP. Đà Lạt, Lâm Đồng",2024-09-16,2,1,100,6000000000,https://cloud.mogi.vn/images/thumb-small/2024/09/16/201/f7064d5b06b94274b94bb9990e4769da.jpg
8,"🌈🌈Bán nhà đường nhựa 5m nguyễn siêu, 2 mặt tiền 7t5!","TP. Đà Lạt, Lâm Đồng",2024-09-14,5,6,96,7500000000,https://cloud.mogi.vn/images/thumb-small/2024/09/14/248/318fd297a052413f93b02429ed476a4a.jpg
9,"Bán nhà trung tâm thành phố Bảo Lộc, Lộc Tiến","TP. Bảo Lộc, Lâm Đồng",2024-09-11,4,4,522,4999000000,https://cloud.mogi.vn/images/thumb-small/2024/08/12/556/5b215a02befc426a963e25fe67b10f25.jpg
10,Giảm tiếp cần  bán gấp nhà La Sơn Phu Tử Phường 6 ĐÀ LẠT,"TP. Đà Lạt, Lâm Đồng",2024-09-11,3,2,81,6200000000,https://cloud.mogi.vn/images/thumb-small/2024/09/11/232/d331185c045c4b37a27dc3e173d45125.jpg
11,Cần bán nhà góc 2 mặt tiền hẻm oto NGÔ THÌ SỸ giao NGÔ THÌ NHẬM,"TP. Đà Lạt, Lâm Đồng",2024-09-10,4,3,42,2450000000,https://cloud.mogi.vn/images/thumb-small/2024/08/20/434/0fd701975cc54f7f9ec4db455a31ca1f.jpg
12,"🎯🎯Bán homestay Hẻm 27 Lê Hồng Phong, Phường 4, Tp Đà Lạt. Homestay 3","TP. Đà Lạt, Lâm Đồng",2024-09-10,1,1,120,6800000000,https://cloud.mogi.vn/images/thumb-small/2024/08/25/237/0e258b2fd3b54771bcc70cbb73445869.jpg
13,"Bán căn nhà đẹp Phường 9, Đà Lạt","TP. Đà Lạt, Lâm Đồng",2024-09-10,3,2,78,3200000000,https://cloud.mogi.vn/images/thumb-small/2024/08/18/437/e2191f428de142168ccbe8ec0fe647bf.jpg
14,"Bán Nhà Nam Hồ, P11, Đà Lạt  - giá siêu tốt trong khu vực","TP. Đà Lạt, Lâm Đồng",2024-09-10,5,6,62,4600000000,https://cloud.mogi.vn/images/thumb-small/2024/08/15/599/6b5fc8dcbb164a96ac028f48ead3f70d.jpg
15,Ngộp ngân hàng - Hạ giá cần bán gấp biệt thự p12,"TP. Đà Lạt, Lâm Đồng",2024-09-10,6,3,200,8100000000,https://cloud.mogi.vn/images/thumb-small/2024/08/22/569/43539a957ae54bbc8e3ad417ba43490a.jpg
16,Bán nhà hẻm Lê Hồng Phong đường ô tô,"TP. Đà Lạt, Lâm Đồng",2024-09-10,3,4,62,6200000000,https://cloud.mogi.vn/images/thumb-ms/2024/08/30/492/caa4a825754f4fd2b1c55465dc4ba2a9.jpg
17,Bán gấp nhà mặt tiền Nguyên Tử Lực Phường 8 Đà Lạt,"TP. Đà Lạt, Lâm Đồng",2024-09-10,3,4,113,13300000000,https://cloud.mogi.vn/images/thumb-ms/2024/08/31/544/69d1a3f7a0094fc69117488fd6fca241.jpg
18,Bán nhà đẹp Cao Thắng Phường 7 Đà Lạt 3tỷ 800tr,"TP. Đà Lạt, Lâm Đồng",2024-09-10,4,2,77,3800000000,https://cloud.mogi.vn/images/thumb-small/2024/09/04/265/7230477d4d0d4295862e597e6bf28954.jpg
19,"Nhà mới sổ riêng xây dựng, La Sơn Phu Tử, P6, Đà Lạt","TP. Đà Lạt, Lâm Đồng",2024-09-10,4,5,50,4500000000,https://cloud.mogi.vn/images/thumb-small/2024/09/06/155/bdc15d224d1d49f2953fbdcff6d89528.jpg
20,"Cần bán nhà SRXD mới hoàn thiện, mặt tiền đường Ngô Thì Nhậm, Phường 4","TP. Đà Lạt, Lâm Đồng",2024-09-10,3,3,77,7200000000,https://cloud.mogi.vn/images/thumb-small/2024/09/09/328/cbac0186250042109ca068bbb7221787.jpg
21,Hạ bán nhanh nhà Hùng Vương 110m2 - XDPQ - Đường ô tô,"TP. Đà Lạt, Lâm Đồng",2024-09-10,3,4,110,4200000000,https://cloud.mogi.vn/images/thumb-small/2024/09/10/320/bb8b3007b5524c1ab2894a02f7dd0fd1.jpg
22,"Chính chủ "" Bán Nhà Phố 9M Ngang Mặt Tiền "" Phan Chu Trinh Tp .Đà Lạt","TP. Đà Lạt, Lâm Đồng",2024-08-26,16,16,183,28000000000,https://cloud.mogi.vn/images/thumb-small/2024/08/26/456/8cf90b45ee814f3b808bd811104438cf.jpg
23,Bán nhà Sân vườn trái cây (đã có thu) tại - Hẻm Phan Chu Trinh - P.Lộc,"TP. Bảo Lộc, Lâm Đồng",2024-08-19,2,1,1161,3650000000,https://cloud.mogi.vn/images/thumb-small/2024/08/19/355/ff3c95d58fbd47e1b5a385ba0219501d.jpg
24,Bán nhà c4 có thổ cư- hẻm 50 ( PHỞ LẬP) đường ô tô- 1 /5  CAO ĐẲNG,"TP. Bảo Lộc, Lâm Đồng",2024-08-15,2,1,210,1600000000,https://cloud.mogi.vn/images/thumb-small/2024/08/15/048/184d0eb3645a480ea173c760387f2362.jpg
25,Bán nhà Sân vườn trái cây (đã có thu) tại - Hẻm Phan Chu Trinh - P.Lộc,"TP. Bảo Lộc, Lâm Đồng",2024-08-09,2,1,1161,4299000000,https://cloud.mogi.vn/images/thumb-small/2024/07/10/280/82bb013473c54748baa850b2ee310ecc.jpg
26,Bán nhà Sân vườn trái cây (đã có thu) tại - Hẻm Phan Chu Trinh - P.Lộc,"TP. Bảo Lộc, Lâm Đồng",2024-08-09,2,1,1161,3950000000,https://cloud.mogi.vn/images/thumb-small/2024/08/09/083/10fd05c67b3a4f0098ad7dbc3d1d36dc.jpg
27,"Nhận Chính chủ: Bán nhà có thổ cư, hẻm đầu đường 1/5 cách Ql20 300m","TP. Bảo Lộc, Lâm Đồng",2024-08-09,2,1,64,2259000000,https://cloud.mogi.vn/images/thumb-small/2024/08/09/557/d07e6cbf18bc4feeb5982ae6a9bdc697.jpg
28,"Bán Nhà hẻm ô tô đường 1/5 Phường Blao, Tp Bảo Lộc","TP. Bảo Lộc, Lâm Đồng",2024-08-09,2,1,99,1200000000,https://cloud.mogi.vn/images/thumb-small/2024/08/09/058/29507fad258c4c25952884034b6b881d.jpg
29,"Bán căn nhà Kinh doanh full TC - Mặt tiền Đội Cấn, Lộc Sơn, Bảo Lộc","TP. Bảo Lộc, Lâm Đồng",2024-08-03,2,1,110,3499000000,https://cloud.mogi.vn/images/thumb-small/2024/08/03/121/2bbe168321e24a3bb8b3210ed385520f.jpg
30,"Bán nhà  full thổ cư gần Ngay nhà thờ Tân Bùi, Lộc Châu, Bảo lộc","TP. Bảo Lộc, Lâm Đồng",2024-08-03,3,2,120,1900000000,https://cloud.mogi.vn/images/thumb-small/2024/08/03/152/74e39ef300a14e4d83bf5531368dfc72.jpg
31,Nhà khu Nam Phương city- Lôc Phát  Khu đô thị hạ tầng đẹp nhất Tp BL,"TP. Bảo Lộc, Lâm Đồng",2024-08-03,3,2,95,3499000000,https://cloud.mogi.vn/images/thumb-ms/2024/08/03/183/0f78ad033e17461784511cad1fd04bdf.jpg
32,"Bán đất tặng nhà nhỏ hẻm ô tô đầu Mạc Đĩnh Chi, phường 2, Bảo Lộc","TP. Bảo Lộc, Lâm Đồng",2024-07-29,1,1,80,1250000000,https://cloud.mogi.vn/images/thumb-ms/2024/07/29/387/b8137643f06a4cf8b5b6c8aa675c6c74.jpg
33,Cần Bán HomeStay trên núi đại Bình gần Bình Minh Luxury,"Huyện Bảo Lâm, Lâm Đồng",2024-07-29,3,5,10768,8500000000,https://cloud.mogi.vn/images/thumb-small/2024/07/29/360/33c5e33e15af41f09f6a010cf1cb92c7.jpg
34,Nhà mới xây 4 tầng ngay trung tâm Tp Đà Lạt,"TP. Đà Lạt, Lâm Đồng",2024-07-28,6,7,73,7600000000,https://cloud.mogi.vn/images/thumb-small/2024/07/28/557/95e9f43f4d814dfdbf68ebeef8d39430.jpg
35,"bán nhà đẹp, có thổ cư, hẻm ô tô, Phan chu Trinh, Bảo Lộc","TP. Bảo Lộc, Lâm Đồng",2024-07-27,2,1,173,2000000000,https://cloud.mogi.vn/images/thumb-small/2024/07/27/289/130996d9b46a485fb7947bc392e506d9.jpg
36,"Bán Nhà 2PN DT 5x23m Gần Chợ Liên Nghĩa Giá 1,4ty qúa Rẻ","Huyện Đức Trọng, Lâm Đồng",2024-07-26,2,1,120,1400000000,https://cloud.mogi.vn/images/thumb-small/2023/12/03/444/9226efdb8ef7431a88b622ae87e4a7a8.jpg
37,Bán Nhà 3PN liên hiệp 5x47m tc75m2 Gần Sân bay Liên Khương,"Huyện Đức Trọng, Lâm Đồng",2024-07-23,3,2,220,2300000000,https://cloud.mogi.vn/images/thumb-small/2023/09/13/225/323d75cb47d5478f91ea1d0388859e64.jpg
38,Bán Nhà Siêu Rộng 3PN DT 8x40m tc100m2 Sau Chợ Phú Hội Đức Trọng,"Huyện Đức Trọng, Lâm Đồng",2024-07-23,3,1,320,2500000000,https://cloud.mogi.vn/images/thumb-small/2023/07/10/011/eb489b4d7a374ac3912803d747a14559.jpg
39,Bán Đất TT Liên Nghĩa 5x23m tc72m Giá Chỉ 970tr,"Huyện Đức Trọng, Lâm Đồng",2024-07-23,0,0,119,970000000,https://cloud.mogi.vn/images/thumb-small/2023/02/18/588/d87a8ca0125c4a2e842fdfb5d8b8b93e.jpg
40,Bán Đất tặng Nhà 4PN Sân Vườn 3000m2  Cách Sân Bay 10 phút,"Huyện Đức Trọng, Lâm Đồng",2024-07-23,4,2,3000,8000000000,https://cloud.mogi.vn/images/thumb-small/2023/11/13/246/528061bbea384a9eb435030da7f81ef6.jpg
41,"Bán Nhà 2PN Gần chợ Phú hội DT 11x15m tc100m2 giá 1,85ty Cách Sân Bay","Huyện Đức Trọng, Lâm Đồng",2024-07-23,2,1,170,1850000000,https://cloud.mogi.vn/images/thumb-small/2024/06/27/237/871f9f149d99474a8ef00645fe4dffb1.jpg
42,"Bán biệt thự sân vườn thiết kế đẹp –Bảo Lộc, tỉnh Lâm Đồng- giá: 16 tỷ","Huyện Bảo Lâm, Lâm Đồng",2024-07-20,4,4,4000,16000000000,https://cloud.mogi.vn/images/thumb-small/2024/06/20/102/620fac01c33a4d7cbd3f0242b25c19b1.jpg
43,"Bán nhà cấp 4 hẻm 1/5, B'lao, Bảo Lộc","TP. Bảo Lộc, Lâm Đồng",2024-07-20,1,1,232,1600000000,https://cloud.mogi.vn/images/thumb-small/2024/07/20/501/209a4f061be54c40af908ed39e4d330f.jpg
44,"Bán căn biệt thự xinh xắn trong khu biệt thự, đường Nguyễn An Ninh, Bả","TP. Bảo Lộc, Lâm Đồng",2024-07-20,3,3,250,3800000000,https://cloud.mogi.vn/images/thumb-small/2024/07/20/340/2e55e895bc524677bcf08093e29f4b4c.jpg
45,"Nhận chính chủ: Bán căn nhà hẻm 263 Mạc Đĩnh Chi, phường 2, TP Bảo Lộc","TP. Bảo Lộc, Lâm Đồng",2024-07-12,3,2,220,2450000000,https://cloud.mogi.vn/images/thumb-small/2024/07/12/486/d2df3cb12b844d668d76b43124cfac76.jpg
46,Cần bán nhà vườn giáp suối tại Lộc An - Bảo Lộc,"Huyện Bảo Lâm, Lâm Đồng",2024-07-11,2,1,160,690000000,https://cloud.mogi.vn/images/thumb-ms/2024/02/29/267/1e9296cc3d3344138dd700a18a865a56.jpg
47,Bán nhà 1 trệt 1 lầu hẻm Mạc Đĩnh Chi,"TP. Bảo Lộc, Lâm Đồng",2024-07-10,3,2,120,2949000000,https://cloud.mogi.vn/images/thumb-ms/2024/07/10/316/8f5024488d8f488e9e11ec699bcef865.jpg
48,"Cần bán đất tặng nhà mặt tiền Nguyễn Tri Phương , nối dài","TP. Bảo Lộc, Lâm Đồng",2024-07-10,3,1,626,4800000000,https://cloud.mogi.vn/images/thumb-small/2024/07/10/240/a0568452b65d42d49320a5ec51701c84.jpg
49,"9 căn hộ 6 tầng, mặt tiền cổ loa, đủ pháp lý, tiện nghi, giá gặp chủ","TP. Đà Lạt, Lâm Đồng",2024-07-10,9,11,91,14500000000,https://cloud.mogi.vn/images/thumb-small/2024/07/10/206/3cb092e49f2d45a1bed9e37a2971926a.jpg
50,"Cần bán căn nhà hẻm 402 Phan Đình Phùng, Bảo Lộc","TP. Bảo Lộc, Lâm Đồng",2024-07-09,3,2,105,2300000000,https://cloud.mogi.vn/images/thumb-small/2024/07/09/434/ab017320798649dd8d2959e4d9d21688.jpg
51,"Bán nhà hẻm 402 Phan Đình Phùng, Lộc Tiến (Gần cty Scavy, sau lưng","TP. Bảo Lộc, Lâm Đồng",2024-07-09,2,1,130,1950000000,https://cloud.mogi.vn/images/thumb-small/2024/07/09/373/605c2757cda240e2a3d29ca70c58391d.jpg
52,"Bán nhà thổ cư ,hẻm 123 Mạc Đĩnh Chi, đường lớn, Phường 2, Bảo Lộc","TP. Bảo Lộc, Lâm Đồng",2024-07-09,3,2,100,2250000000,https://cloud.mogi.vn/images/thumb-small/2024/07/09/456/9263d3e97f194fa0aacead7f01b8e025.jpg
53,- Bán gấp đất thổ cư có sẵn nhà xinh hẻm xe hơi 1092-QL20 -Lộc Châu-Bả,"TP. Bảo Lộc, Lâm Đồng",2024-07-09,3,1,237,1500000000,https://cloud.mogi.vn/images/thumb-small/2024/07/09/579/2c1edefd63e64922a63f8ac594593a0b.jpg
54,"Bán gấp nhà hẻm  Nguyễn Phú Thứ, B'Lao, Tp Bảo Lộc","TP. Bảo Lộc, Lâm Đồng",2024-07-05,3,2,100,1750000000,https://cloud.mogi.vn/images/thumb-small/2024/06/27/180/49226073d76d46b194a2903b8b001b3f.jpg
55,"Bán nhà 1 trệt 1 lầu hẻm Mạc Đĩnh Chi phường 2, Bảo Lộc","TP. Bảo Lộc, Lâm Đồng",2024-06-27,3,2,120,2950000000,https://cloud.mogi.vn/images/thumb-small/2024/06/27/121/f5c72599c06945f487bce9b1225bf6bf.jpg
56,"Cần Bán nhà hẻm Bùi Thị Xuân, phường 1,  TP Bảo Lộc","TP. Bảo Lộc, Lâm Đồng",2024-06-27,2,1,90,1850000000,https://cloud.mogi.vn/images/thumb-small/2024/06/27/217/08c85851a2224cf6b915803d80bdb558.jpg
57,Bán nhà Sân vườn trái cây (đã có thu) tại - Hẻm Phan Chu Trinh - P.Lộc,"TP. Bảo Lộc, Lâm Đồng",2024-06-27,2,1,1161,4300000000,https://cloud.mogi.vn/images/thumb-small/2024/06/27/086/5ac0ab2588d048fa91b21e1ed3760f9e.jpg
58,"CHÍNH CHỦ: Cần bán căn nhà hẻm Đường Huyền Trân Công Chúa , Đà Lạt","TP. Đà Lạt, Lâm Đồng",2024-06-27,3,2,50,2050000000,https://cloud.mogi.vn/images/thumb-small/2024/06/27/396/32eb2b71858d4473a323e4f1aa32a06d.jpg
59,"Bán đất + nhà mặt tiền Phan Đình Phùng, Bảo Lộc","TP. Bảo Lộc, Lâm Đồng",2024-06-27,3,2,1083,10500000000,https://cloud.mogi.vn/images/thumb-small/2024/06/27/301/731dde99becb46c584f4580273b88f50.jpg
60,Bán Homestay nghỉ dưỡng hơn 1000m2 TP Bảo Lộc có nguồn thu ổn định,"TP. Bảo Lộc, Lâm Đồng",2024-04-22,3,2,1032,4549000000,https://cloud.mogi.vn/images/thumb-small/2024/04/06/553/161acf222e9c43309600f714e908dbc6.jpg
61,Bán căn Homestay nghỉ dưỡng hơn 1000m2 TP Bảo Lộc có nguồn thu ổn định,"TP. Bảo Lộc, Lâm Đồng",2024-04-22,3,2,1157,4500000000,https://cloud.mogi.vn/images/thumb-ms/2024/04/14/079/50441c1199e846b4acad9d3db929eada.jpg
62,Bán Nhà Phố đường Nguyễn Văn Cừ Gần chợ Hà Giang tiện đi lại trung tâm,"TP. Bảo Lộc, Lâm Đồng",2024-04-22,3,2,90,2300000000,https://cloud.mogi.vn/images/thumb-ms/2024/04/20/226/6861ca7ed30b4ccbb43bb8672a0beac2.jpg
63,Chính chủ cần bán nhà mặt đường Nguyễn Thị Nghĩa sát khu Golf Valley Đ,"TP. Đà Lạt, Lâm Đồng",2024-03-26,3,2,86,11900000000,https://cloud.mogi.vn/images/thumb-small/2024/03/26/059/807d032fb8254bd7ae49c09d20d8e5e8.jpg
64,"bán nhà nhỏ xinh hẻm đường 1/5 , cách Ql20 chỉ 350m","TP. Bảo Lộc, Lâm Đồng",2024-03-22,2,2,64,2800000000,https://cloud.mogi.vn/images/thumb-small/2024/03/22/598/f4c49a9505a443eaba1c942c4b01c778.jpg
65,đất nền biệt thự ven sông đại bình,"Huyện Bảo Lâm, Lâm Đồng",2023-11-15,2,1,1000,1050000000,https://cloud.mogi.vn/images/thumb-small/2023/11/15/584/2f050fe7f3e24151b447cd1f02351458.jpg
66,Bán nhà 2 mặt tiền Hai Bà Trưng P6 Đà Lạt ngay trung tâm - MN3324,"TP. Đà Lạt, Lâm Đồng",2023-11-14,6,5,83,25000000000,https://cloud.mogi.vn/images/thumb-small/2023/10/27/146/bd970d97580b4c8c878d939b63a71a85.jpg
67,Bán nhà hẻm ô tô Ngô Quyền Phường 6 Đà Lạt thích hợp an cư - MN3323,"TP. Đà Lạt, Lâm Đồng",2023-11-14,3,2,115,7000000000,https://cloud.mogi.vn/images/thumb-small/2023/10/27/231/737e31c4cf1c413e806e142ef0964e59.jpg
68,Bán nhà mặt tiền Tô Vĩnh Diện P6 Đà Lạt thích hợp kinh doanh - MN3322,"TP. Đà Lạt, Lâm Đồng",2023-11-14,2,4,82,10500000000,https://cloud.mogi.vn/images/thumb-small/2023/10/27/390/b0c72299b88d42b4a27809608afe3c93.jpg
69,Bán nhà hẻm ô tô Ngô Quyền phường 6 Đà Lạt thích hợp an cư - MN3320,"TP. Đà Lạt, Lâm Đồng",2023-11-14,4,3,103,9900000000,https://cloud.mogi.vn/images/thumb-small/2023/10/27/535/e29ba01933d849ccaa7d486cd70ec17f.jpg
70,Bán biệt thự nghỉ dưỡng mặt tiền Vạn Thành phường 5 Đà Lạt - MN3319,"TP. Đà Lạt, Lâm Đồng",2023-11-14,6,4,273,25000000000,https://cloud.mogi.vn/images/thumb-small/2023/10/27/567/4adf7c0bc16e4c36b15d79dd92d81b7a.jpg
71,Bán nhà mặt tiền Cổ Loa P2 Đà Lạt thích hợp an cư lạc nghiệp - MN3316,"TP. Đà Lạt, Lâm Đồng",2023-11-14,3,2,87,10500000000,https://cloud.mogi.vn/images/thumb-small/2023/10/27/062/98b46bdef49645d4bc3979101da39b67.jpg
72,Bán nhà 2 mặt tiền La Sơn Phu Tử phường 6 Đà Lạt tiện an cư - MN3309,"TP. Đà Lạt, Lâm Đồng",2023-11-14,2,3,50,12000000000,https://cloud.mogi.vn/images/thumb-small/2023/10/27/158/2d4c927685db4f11b7df2e3d5dfa004e.jpg
73,Bán biệt thự Hồ Xuân Hương phường 9 Đà Lạt không gian yên tĩnh MN3301,"TP. Đà Lạt, Lâm Đồng",2023-11-14,3,2,299,14700000000,https://cloud.mogi.vn/images/thumb-small/2023/10/27/186/2e86f935e97b4669bdc4c7b25c36a620.jpg
74,Bán nhà 2 mặt tiền Cổ Loa P2 Đà Lạt thích hợp an cư lạc nghiệp MN3589,"TP. Đà Lạt, Lâm Đồng",2023-11-14,4,2,73,9500000000,https://cloud.mogi.vn/images/thumb-small/2023/10/30/371/2e80416d054944b2b3b58acbab6b7d11.jpg
75,Bán biệt thự KQH An Sơn phường 4 Đà Lạt hợp an cư nghỉ dưỡng - MN3587,"TP. Đà Lạt, Lâm Đồng",2023-11-14,5,4,144,22000000000,https://cloud.mogi.vn/images/thumb-small/2023/10/30/440/4e379c37e7464a1fb15e1b71d2a4fbde.jpg
76,Bán khách sạn đẳng cấp Trần Quang Diệu P10 Đà Lạt view đẹp - MN3584,"TP. Đà Lạt, Lâm Đồng",2023-11-14,25,25,797,90000000000,https://cloud.mogi.vn/images/thumb-ms/2023/10/30/481/54c1d64878464a3aa86086fb2c0b2210.jpg
